price;rooms;size;bathrooms;living_areas;bedrooms;type_of_property;city;region
350000.0;7;240;2;null;null;apartment;Djerba;Djerba
null;5;256;3;null;null;house;Mnihla;Cite Rafaha
220000.0;1;200;1;null;1;house;Sousse Ville;Sousse Ville
170000.0;null;106;1;5;2;house;null;Kélibia
550000.0;4;490;1;null;null;house;Sousse Ville;Sousse Ville
570000.0;3;820;2;null;null;house;null;Menzel Temime
388000.0;3;220;2;5;null;house;Rades;Rades
600000.0;5;230;2;null;null;house;Hammam Lif;Hammam Lif
230000.0;3;120;2;5;null;house;El Omrane Superieur;El Omrane Superieur
420000.0;7;400;3;3;null;house;Sousse Ville;Sousse Ville
null;12;170;2;null;null;house;El Omrane Superieur;El Nassim
270000.0;8;190;2;null;null;house;La Soukra;Cite de l'aéroport
565000.0;null;250;1;4;3;house;Sousse Ville;Bouhssina
230000.0;null;245;2;6;5;house;La Soukra;Chotrana 1
550000.0;4;200;2;null;null;house;Hammamet;Hammamet Nord
245000.0;null;163;1;null;2;house;Hammamet;Hammamet
1900000.0;null;1900;3;8;7;apartment;La Soukra;La Soukra
null;2;512;1;null;null;house;null;Tozeur
135000.0;2;137;1;1;null;house;null;Hammam El Ghezaz
1005000.0;null;null;null;null;null;null;Raoued;Raoued
500000.0;null;260;1;2;2;null;Bizerte Nord;Bizerte Centre Ville
1600000.0;5;400;3;null;null;house;El Menzah;El Menzah 1
120000.0;3;120;1;5;null;house;Tebourba;Cite Errimel
1500000.0;10;440;4;null;9;house;La Marsa;La Marsa
1500000.0;7;1053;2;null;5;house;Rades;Rades Mongil
1107000.0;5;599;1;null;null;house;Ariana Ville;El Menzah 5
900000.0;9;344;1;9;null;house;a;La Med
470000.0;null;162;3;7;5;house;null;Ras Jebel
120000.0;null;123;1;4;3;house;Raoued;Raoued
1260000.0;5;531;3;7;null;apartment;Le Bardo;Le Bardo
null;1;245;3;null;3;house;Hammamet;Hammamet Nord
170000.0;2;124;1;1;null;house;null;Hammam El Ghezaz
250000.0;6;400;1;null;null;house;Hammamet;Hammamet
280000.0;6;240;2;null;null;house;null;Kélibia
270000.0;5;200;2;null;null;house;Djerba;Djerba
400000.0;7;900;2;null;3;house;Djerba;Djerba
550000.0;3;240;2;4;null;house;Hammamet;Hammamet Nord
50000.0;null;135;1;1;1;house;null;El Haouaria
600000.0;null;930;null;6;3;house;Djerba;Djerba
390000.0;12;398;3;null;null;house;Raoued;Raoued
190000.0;null;100;1;3;2;house;Djerba;Djerba
1390000.0;null;562;4;6;4;house;El Menzah;El Manar 1
450000.0;null;250;2;5;5;house;Mahdia Ville;Mahdia Ville
3720000.0;4;130;2;null;null;house;Houmt Souk;Houmt Souk
200000.0;null;119;1;4;2;house;null;Ksar Hellal
null;4;150;null;null;null;apartment;null;Le Kram
null;null;320;4;6;4;apartment;Carthage;Sidi Bousaid
115000.0;2;105;1;null;null;house;Sousse Riadh;Sousse Riadh
360000.0;4;220;1;null;4;house;Sousse Ville;Sousse Ville
2200000.0;4;125;2;5;null;house;Carthage;Sidi Bousaid
980000.0;6;543;3;6;null;house;null;Ksar Hellal
280000.0;4;207;2;null;null;house;Raoued;Raoued
null;4;160;2;null;null;house;Sfax Sud;Sfax Sud
65000.0;2;180;1;null;null;house;null;Hammam El Ghezaz
700000.0;7;5300;3;null;5;house;Djerba;Djerba
750000.0;6;440;4;8;null;house;Akouda;Chott Meriem
